Batch ID,Category,Product Name,Product Image,Store Name,Product Link,Price,Unit Price
29,fruits_and_vegetables,ΑΒ | Πιπεριές Τύπου Φλωρίνης Συσκευασμένες Ελληνικές,https://www.bigle.gr/images/products/cd26cc4e-5cba-441c-ae67-8368e2f26bcc.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Piperies-Melitzanes-Kolokythakia/Piperies-Typoy-Florinis-Syskeyasmenes-Ellinikes/p/7514211,"1,79€","2,99€ ανά κιλό"
30,fruits_and_vegetables,Σέλερι Εύβοιας,https://www.bigle.gr/images/products/cb7dac8d-612c-4e08-8e06-731ac335acec.jpeg,Bazaar,https://www.bigle.grhttps://www.bazaar-online.gr/seleri-eyvoias,"2,25€","2,25€ ανά 1 κιλά"
31,fruits_and_vegetables,Βιολογικά Κρεμμύδια Βιολογικά Κρεμμύδια Ξερά,https://www.bigle.gr/images/products/ef1e4091-0f4a-471b-9854-fcbe9b457265.jpeg,Κρητικός,https://www.bigle.grhttps://kritikos-sm.gr/products/manabikh/bio/biologika-kremmudia-xera-713668,"2,20€","2,20€ ανά κιλό"
32,fruits_and_vegetables,Μήλα Gala Α΄ Εγχώρια,https://www.bigle.gr/images/products/7b29471a-be1b-4a76-b7d1-06fd5ca94537.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-freska-frouta/mhla-gala-a-egxoria,"0,79€","1,98€ ανά κιλό"
33,fruits_and_vegetables,ΑΒ | Σαλάτα Πράσινη Συσκευασμένη Ελληνική 1 Τεμάχιο,https://www.bigle.gr/images/products/8e9acfed-80b8-4c56-86b3-4c6dd1e16c2e.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Maroylia-Salates-Roka/Salata-Prasini-Syskeyasmeni-Elliniki-1-Temachio/p/7512855,"1,25€","1,25€ ανά τεμάχιο"
34,fruits_and_vegetables,Lucia's Farm Τοματίνια Μινιόν Ελληνικά Α΄ Ποιότητα 250γρ.,https://www.bigle.gr/images/products/df7a5a41-a71b-4758-9f91-9ed7f886b8f5.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/lucia's-farm-tomatinia-minion-ellhnika-a΄-poiothta-250gr-?3245396,"2,12€","8,48€ ανά κιλό"
35,fruits_and_vegetables,Κολοκυθάκια Αργολίδας 500g ~ 7τμχ,https://www.bigle.gr/images/products/ce758505-c03a-4a28-b203-f799124be3c0.jpeg,Bazaar,https://www.bigle.grhttps://www.bazaar-online.gr/kolokythakia-ileias-500g-7tmch,"2,98€","1,49€ ανά 0.5 κιλά"
36,fruits_and_vegetables,Κρεμμύδια Ξερά Κρήτης,https://www.bigle.gr/images/products/8cd54aad-07ae-4d9c-987c-cd9520d8b42f.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/kremmydia-ksera-kritis,"0,73€","1,45€ ανά κιλό"
37,fruits_and_vegetables,ECONOMY Σαλάτα Φρέσκια Πριμαβέρα 150γρ.,https://www.bigle.gr/images/products/060b389c-d4cd-4bdb-83ab-0e120136eb6d.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-salates-freskies-etoimes/economy-salata-freskia-primavera-150gr-,"1,00€","6,67€ ανά κιλό"
38,fruits_and_vegetables,ΒΙΟΚΑΡΠΟΣ ΛΑΧΑΝO ΛΕΥΚΟ,https://www.bigle.gr/images/products/no_img.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2106820000000,"1,85€","1,85€ ανά τεμάχιο"
